mtry	AUC
2	0.8744999999999999
4	0.8806666666666667
8	0.8829166666666667
17	0.8823333333333333
34	0.8881666666666667
2	0.9108333333333334
4	0.9105
8	0.9048333333333334
17	0.9053333333333333
34	0.9108333333333334
2	0.8568333333333333
4	0.8486666666666667
8	0.8433333333333334
17	0.84925
34	0.84675
2	0.8498333333333333
4	0.8498333333333333
8	0.8491666666666666
17	0.8511666666666666
34	0.849
2	0.9003333333333333
4	0.9016666666666666
8	0.903
17	0.8963333333333333
34	0.8976666666666666
2	0.835
4	0.8398333333333333
8	0.8481666666666666
17	0.8428333333333333
34	0.8509166666666667
2	0.92075
4	0.9166666666666666
8	0.9123333333333333
17	0.9130833333333334
34	0.9111666666666667
2	0.9173333333333333
4	0.91
8	0.9068333333333334
17	0.90525
34	0.9094166666666667
2	0.8711666666666666
4	0.87425
8	0.8765833333333334
17	0.878
34	0.874
2	0.89575
4	0.8996666666666666
8	0.8999166666666667
17	0.9003333333333333
34	0.904
2	0.8440833333333333
4	0.8466666666666667
8	0.84
17	0.8403333333333334
34	0.8408333333333333
2	0.9055
4	0.8991666666666667
8	0.89875
17	0.9013333333333333
34	0.901
2	0.8813333333333333
4	0.8824166666666666
8	0.8814166666666666
17	0.8831666666666667
34	0.8864166666666666
2	0.8496666666666667
4	0.8569166666666667
8	0.8432499999999999
17	0.8496666666666667
34	0.85725
2	0.9293333333333333
4	0.9265
8	0.928
17	0.92975
34	0.9306666666666666
2	0.8813333333333333
4	0.8800833333333333
8	0.8826666666666667
17	0.8880833333333333
34	0.8835833333333333
2	0.9074166666666666
4	0.9145
8	0.91225
17	0.9101666666666667
34	0.90625
2	0.841
4	0.8453333333333334
8	0.847
17	0.8481666666666666
34	0.852
2	0.8640833333333333
4	0.8613333333333333
8	0.8605
17	0.8546666666666667
34	0.8525
2	0.8671666666666666
4	0.8598333333333333
8	0.8673333333333333
17	0.8658333333333333
34	0.866
2	0.87025
4	0.8665
8	0.8695833333333334
17	0.8675
34	0.8636666666666667
2	0.9460833333333333
4	0.9488333333333333
8	0.95
17	0.9526666666666667
34	0.95
2	0.9018333333333334
4	0.8985833333333333
8	0.8965
17	0.8953333333333333
34	0.8946666666666666
2	0.8864166666666666
4	0.8811666666666667
8	0.8868333333333334
17	0.8883333333333333
34	0.8909166666666667
2	0.9048333333333334
4	0.9085
8	0.8975
17	0.8913333333333333
34	0.8911666666666667
2	0.8914166666666666
4	0.8935
8	0.8925833333333333
17	0.8985833333333333
34	0.89675
2	0.9243333333333333
4	0.922
8	0.9186666666666666
17	0.9168333333333333
34	0.9139166666666667
2	0.8793333333333333
4	0.8841666666666667
8	0.8756666666666667
17	0.8744999999999999
34	0.873
2	0.8808333333333334
4	0.8775833333333334
8	0.8808333333333334
17	0.8823333333333333
34	0.8826666666666667
2	0.8835
4	0.8843333333333333
8	0.8793333333333333
17	0.8786666666666667
34	0.8801666666666667
2	0.87125
4	0.8665
8	0.86925
17	0.8646666666666667
34	0.8686666666666667
2	0.9351666666666667
4	0.9263333333333333
8	0.9209166666666667
17	0.9181666666666667
34	0.9291666666666667
2	0.9099166666666667
4	0.9026666666666666
8	0.9001666666666667
17	0.8985
34	0.8991666666666667
2	0.8314166666666667
4	0.83475
8	0.8359166666666666
17	0.8353333333333334
34	0.8371666666666666
2	0.8804166666666666
4	0.8798333333333334
8	0.8861666666666667
17	0.87875
34	0.8860833333333333
2	0.8950833333333333
4	0.8953333333333333
8	0.8998333333333334
17	0.8915833333333333
34	0.9028333333333334
2	0.8736666666666667
4	0.8713333333333333
8	0.8744999999999999
17	0.8688333333333333
34	0.8708333333333333
2	0.85575
4	0.8483333333333333
8	0.84725
17	0.8503333333333333
34	0.8531666666666666
2	0.8639166666666667
4	0.8695833333333334
8	0.8730833333333333
17	0.87325
34	0.8740833333333333
2	0.8658333333333333
4	0.8574166666666667
8	0.85725
17	0.8535
34	0.8638333333333333
2	0.8610833333333333
4	0.8631666666666666
8	0.8591666666666666
17	0.8633333333333333
34	0.85975
2	0.9304166666666667
4	0.9256666666666666
8	0.9258333333333333
17	0.9214166666666667
34	0.9131666666666667
2	0.9261666666666667
4	0.9241666666666667
8	0.9281666666666667
17	0.9261666666666667
34	0.9315
2	0.86775
4	0.8676666666666667
8	0.8721666666666666
17	0.8636666666666667
34	0.8523333333333333
2	0.9341666666666667
4	0.9245
8	0.9215833333333333
17	0.9165833333333333
34	0.9133333333333333
2	0.9005
4	0.8988333333333334
8	0.8943333333333333
17	0.8965
34	0.895
2	0.8765833333333334
4	0.88025
8	0.8838333333333334
17	0.8885
34	0.8916666666666666
2	0.8458333333333333
4	0.8418333333333333
8	0.8475
17	0.8425
34	0.8506666666666667
2	0.8841666666666667
4	0.885
8	0.88525
17	0.8884166666666666
34	0.88825
2	0.8465833333333334
4	0.8433333333333334
8	0.8431666666666666
17	0.8405
34	0.8495
2	0.9195
4	0.9184166666666667
8	0.9146666666666666
17	0.9166666666666666
34	0.9163333333333333
2	0.8604166666666666
4	0.8649166666666667
8	0.8545833333333334
17	0.8416666666666667
34	0.8590833333333333
2	0.9239166666666666
4	0.9158333333333333
8	0.9223333333333333
17	0.92975
34	0.92825
2	0.8591666666666666
4	0.8553333333333333
8	0.87225
17	0.85975
34	0.85675
2	0.9373333333333334
4	0.9265
8	0.929
17	0.92525
34	0.9223333333333333
2	0.8548333333333333
4	0.85825
8	0.8525
17	0.847
34	0.84591666666666665
2	0.8425833333333334
4	0.8406666666666667
8	0.8441666666666666
17	0.8455
34	0.8451666666666666
2	0.849
4	0.8488333333333333
8	0.8525833333333334
17	0.8536666666666667
34	0.856
2	0.9310833333333334
4	0.9359999999999999
8	0.9388333333333333
17	0.9305
34	0.9348333333333333
2	0.8518333333333333
4	0.8561666666666666
8	0.856
17	0.848
34	0.8495833333333334
2	0.8375833333333333
4	0.8440833333333333
8	0.8353333333333334
17	0.835
34	0.8456666666666667
2	0.834
4	0.8440833333333333
8	0.8353333333333334
17	0.8435
34	0.8525
2	0.8675
4	0.8713333333333333
8	0.867
17	0.8621666666666666
34	0.8658333333333333
2	0.8595833333333334
4	0.8669166666666667
8	0.8616666666666667
17	0.8588333333333333
34	0.8648333333333333
2	0.934
4	0.9305
8	0.93675
17	0.9311666666666667
34	0.9298333333333333
2	0.8693333333333333
4	0.8744999999999999
8	0.871
17	0.8685833333333334
34	0.86575
2	0.899
4	0.8986666666666666
8	0.8938333333333334
17	0.896
34	0.8945
2	0.84675
4	0.8491666666666666
8	0.8418333333333333
17	0.8528333333333333
34	0.85525
2	0.9460833333333333
4	0.95175
8	0.94825
17	0.9478333333333333
34	0.95
2	0.9593333333333334
4	0.958
8	0.9553333333333334
17	0.9585
34	0.9524166666666667
2	0.94125
4	0.9425
8	0.9376666666666666
17	0.938
34	0.9365
2	0.9123333333333333
4	0.9109166666666667
8	0.9056666666666666
17	0.91425
34	0.914
2	0.9081666666666667
4	0.9063333333333333
8	0.9044166666666666
17	0.9043333333333333
34	0.9055
2	0.87725
4	0.8788333333333334
8	0.8808333333333334
17	0.8795
34	0.8765
2	0.8509166666666667
4	0.8570833333333333
8	0.855
17	0.8615
34	0.8506666666666667
2	0.8843333333333333
4	0.892
8	0.8876666666666667
17	0.8911666666666667
34	0.889
2	0.8849166666666667
4	0.8891666666666667
8	0.8855
17	0.8823333333333333
34	0.886
2	0.8503333333333333
4	0.852
8	0.8483333333333333
17	0.8513333333333333
34	0.8503333333333333
2	0.8911666666666667
4	0.8835
8	0.8853333333333333
17	0.8806666666666667
34	0.8803333333333333
2	0.8941666666666667
4	0.898
8	0.8881666666666667
17	0.8921666666666667
34	0.901
2	0.8933333333333333
4	0.8903333333333333
8	0.8834166666666666
17	0.8863333333333333
34	0.8861666666666667
2	0.956
4	0.9531666666666667
8	0.9529166666666666
17	0.9506666666666667
34	0.9526666666666667
2	0.8885
4	0.8883333333333333
8	0.8898333333333334
17	0.8883333333333333
34	0.8893333333333333
2	0.8845
4	0.8788333333333334
8	0.8819166666666667
17	0.8841666666666667
34	0.8818333333333334
2	0.8432499999999999
4	0.8526666666666667
8	0.8535
17	0.84625
34	0.8546666666666667
2	0.8995833333333333
4	0.9035
8	0.904
17	0.8956666666666666
34	0.8909166666666667
2	0.9358333333333333
4	0.9359999999999999
8	0.93533333333333335
17	0.9376666666666666
34	0.9418333333333333
2	0.9108333333333334
4	0.908
8	0.9083333333333333
17	0.9063333333333333
34	0.9061666666666667
2	0.8939166666666667
4	0.8866666666666667
8	0.8878333333333334
17	0.8933333333333333
34	0.8838333333333334
2	0.93533333333333335
4	0.9421666666666667
8	0.9346666666666666
17	0.9369999999999999
34	0.9335
2	0.8555
4	0.8501666666666666
8	0.8561666666666666
17	0.8553333333333333
34	0.8463333333333334
2	0.891
4	0.8923333333333333
8	0.8890833333333333
17	0.8890833333333333
34	0.8933333333333333
2	0.8575
4	0.8568333333333333
8	0.8543333333333333
17	0.8555
34	0.8541666666666666
2	0.886
4	0.8905
8	0.88325
17	0.8803333333333333
34	0.871
2	0.8615
4	0.8595
8	0.8534166666666667
17	0.858
34	0.8610833333333333
2	0.9468333333333333
4	0.9428333333333333
8	0.93966666666666665
17	0.94125
34	0.9415
2	0.8404166666666667
4	0.8412499999999999
8	0.8419166666666666
17	0.84175
34	0.8465
2	0.8808333333333334
4	0.877
8	0.8816666666666667
17	0.883
34	0.8846666666666667
2	0.94925
4	0.944
8	0.9413333333333334
17	0.9369999999999999
34	0.9406666666666667
2	0.9045
4	0.9010833333333333
8	0.8995
17	0.8976666666666666
34	0.8973333333333333
